adm3_en,adm3_pcode,date,year,week,doh_pois_count,ndvi,pct_area_cropland,pct_area_flood_hazard_5yr_high,pct_area_flood_hazard_5yr_low,pct_area_flood_hazard_5yr_med,pct_area_herbaceous_wetland,pct_area_mangroves,pct_area_permanent_water_bodies,pnp,pop_count_mean,pop_count_stdev,pop_count_total,pop_density_mean,pop_density_stdev,pr,rh,rwi_mean,rwi_std,spi3,spi6,tave,tmax,tmin,case_total_dengue,death_total_dengue
Palayan City,PH034919000,2016-01-04,2016,1,2.0,0.6049986095693626,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,81.99828477136195,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,0.7549923839229865,79.92971147067725,0.4007909197398235,0.049759773425897,,,25.196393391628742,29.83794272209422,21.517338336997064,0.0,
Palayan City,PH034919000,2016-01-11,2016,2,2.0,0.6169741878388528,,12.791515789473689,5.291147368421053,8.956963157894737,,,,,81.99828477136198,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,0.9441439371618952,78.79061760915371,0.4007909197398235,0.049759773425897,,,25.745316348275285,30.234289776193453,22.105657582265877,1.0,
Palayan City,PH034919000,2016-01-18,2016,3,2.0,0.6244941602457433,,12.791515789473689,5.291147368421053,8.956963157894739,,,,,81.99828477136195,59.63210724160523,47248.50994873047,353.94383149729936,182.6513186981529,0.421792497464845,77.76789531902138,0.4007909197398235,0.049759773425897,,,25.838372707462863,30.112704848526864,22.51210389188882,3.0,
Palayan City,PH034919000,2016-01-25,2016,4,2.0,0.6227199174209367,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,81.99828477136195,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,0.0,75.52188936939318,0.4007909197398235,0.049759773425897,,,24.90797454254832,28.624705351149853,21.94927870771254,0.0,
Palayan City,PH034919000,2016-02-01,2016,5,2.0,0.5925661374250487,,12.791515789473689,5.291147368421053,8.956963157894736,,,,54.258913467977806,81.99828477136198,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,0.9419098400150372,80.8766090417065,0.4007909197398235,0.049759773425897,1.168850148147527,-0.3943704320544165,25.203585747013896,28.719712317452235,22.65291046682444,0.0,
Palayan City,PH034919000,2016-02-08,2016,6,2.0,0.5967378984372866,,12.791515789473689,5.291147368421053,8.956963157894739,,,,,81.99828477136195,59.632107241605226,47248.50994873047,353.94383149729936,182.6513186981529,1.0931522025781797,74.037628399875,0.4007909197398235,0.049759773425897,,,24.56900173937159,29.17684475969821,20.849172108755944,3.0,
Palayan City,PH034919000,2016-02-15,2016,7,2.0,0.5831445761613688,,12.791515789473689,5.291147368421053,8.956963157894737,,,,,81.99828477136198,59.632107241605226,47248.50994873047,353.9438314972994,182.6513186981529,0.0,76.22297309116729,0.4007909197398235,0.049759773425897,,,25.105224217416115,29.157825757218728,21.508589235879185,0.0,
Palayan City,PH034919000,2016-02-22,2016,8,2.0,0.5773340530557857,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,81.99828477136198,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,0.9488586986156972,75.17833549181137,0.4007909197398235,0.049759773425897,,,25.49230654538556,29.57709734026673,22.199396029583134,1.0,
Palayan City,PH034919000,2016-02-29,2016,9,2.0,0.57562406064302,,12.791515789473689,5.291147368421053,8.956963157894737,,,,124.70484235564096,81.99828477136195,59.632107241605226,47248.50994873047,353.94383149729936,182.65131869815292,1.790816809158144,79.2466941861279,0.4007909197398235,0.049759773425897,-0.3068585181590241,0.166293889038302,25.72617294823865,29.410121473027115,22.99785739046808,0.0,
Palayan City,PH034919000,2016-03-07,2016,10,2.0,0.560117063919865,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,81.99828477136198,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,1.393499403176016,79.29919939493684,0.4007909197398235,0.049759773425897,,,26.81599892291964,31.097431239531637,23.444992993426837,0.0,
Palayan City,PH034919000,2016-03-14,2016,11,2.0,0.5378674157178632,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,81.99828477136195,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,3.790747260416285,75.69594403818716,0.4007909197398235,0.049759773425897,,,26.99411530463056,31.58667055588165,23.11621909856341,0.0,
Palayan City,PH034919000,2016-03-21,2016,12,2.0,0.5124790425913665,,12.791515789473689,5.291147368421053,8.956963157894737,,,,,81.99828477136195,59.632107241605226,47248.50994873047,353.9438314972994,182.6513186981529,1.9536889316605797,76.1391209692069,0.4007909197398235,0.049759773425897,,,27.166848268698896,31.622473811742328,23.70226394433228,0.0,
Palayan City,PH034919000,2016-03-28,2016,13,2.0,0.5051848880923738,,12.791515789473689,5.291147368421053,8.956963157894737,,,,66.12199026622366,81.99828477136198,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,0.0,74.68669732942627,0.4007909197398235,0.049759773425897,-0.2313363447902278,0.0675432042988305,26.99877070258705,31.53904105019253,23.39584585691397,0.0,
Palayan City,PH034919000,2016-04-04,2016,14,2.0,0.4758560116833178,,12.791515789473689,5.291147368421053,8.956963157894737,,,,,81.99828477136195,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,0.0,73.32900341986075,0.4007909197398235,0.049759773425897,,,27.828838396695797,32.77062940631823,23.53293547933831,1.0,
Palayan City,PH034919000,2016-04-11,2016,15,2.0,0.459606912470133,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,81.99828477136198,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,0.0102974073992242,71.93228711962743,0.4007909197398235,0.049759773425897,,,29.37590639479458,34.74475898313426,25.041670388812296,0.0,
Palayan City,PH034919000,2016-04-18,2016,16,2.0,0.4425745300752596,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,81.99828477136195,59.63210724160523,47248.50994873047,353.9438314972994,182.6513186981529,0.0,71.28086581109015,0.4007909197398235,0.049759773425897,,,28.797526928369475,33.56416542761429,24.461030852757908,0.0,
